hgnc_symbol,Database
A2M,Compartments
A2ML1,Compartments
A4GALT,Compartments
AADACL2,Compartments
ABCA3,Compartments
ABCC1,Compartments
ABCC11,Compartments
ABHD14B,Compartments
ABHD6,Compartments
ABHD8,Compartments
ABI1,Compartments
ABP1,Compartments
ACACA,Compartments
ACADM,Compartments
ACADSB,Compartments
ACAT2,Compartments
ACE,Compartments
ACMSD,Compartments
ACO1,Compartments
ACOT13,Compartments
ACOT2,Compartments
ACOT7,Compartments
ACP5,Compartments
ACPP,Compartments
ACSL4,Compartments
ACSM1,Compartments
ACTA1,Compartments
ACTA2,Compartments
ACTB,Compartments
ACTC1,Compartments
ACTG1,Compartments
ACTG2,Compartments
ACTN1,Compartments
ACTN2,Compartments
ACTR1B,Compartments
ACTR2,Compartments
ACVR1B,Compartments
ACY1,Compartments
ACYP1,Compartments
ADAM12,Compartments
ADAM15,Compartments
ADAM9,Compartments
ADAMTS3,Compartments
ADAMTS4,Compartments
ADAMTS9,Compartments
ADAMTSL5,Compartments
ADCY1,Compartments
ADCYAP1,Compartments
ADH5,Compartments
ADH6,Compartments
ADIPOQ,Compartments
ADM2,Compartments
ADSS,Compartments
AEBP1,Compartments
AFM,Compartments
AFP,Compartments
AGAP2,Compartments
AGER,Compartments
AGGF1,Compartments
AGMAT,Compartments
AGR2,Compartments
AGRN,Compartments
AGRP,Compartments
AGT,Compartments
AHCTF1,Compartments
AHCY,Compartments
AHNAK,Compartments
AHSA1,Compartments
AHSG,Compartments
AIFM2,Compartments
AK1,Compartments
AK2,Compartments
AK4,Compartments
AKR1A1,Compartments
AKR1B10,Compartments
AKR1C1,Compartments
AKR1C3,Compartments
AKR1D1,Compartments
AKR1E2,Compartments
AKR7A2,Compartments
AKR7A3,Compartments
ALAD,Compartments
ALB,Compartments
ALCAM,Compartments
ALDH16A1,Compartments
ALDH1A1,Compartments
ALDH1A3,Compartments
ALDH1L1,Compartments
ALDH3A1,Compartments
ALDH3A2,Compartments
ALDH6A1,Compartments
ALDH7A1,Compartments
ALDH9A1,Compartments
ALDOA,Compartments
ALDOB,Compartments
ALDOC,Compartments
ALK,Compartments
ALOX15B,Compartments
ALOX5,Compartments
ALPL,Compartments
ALYREF,Compartments
AMBN,Compartments
AMELX,Compartments
AMELY,Compartments
AMH,Compartments
AMN,Compartments
AMY1B,Compartments
AMY2A,Compartments
AMY2B,Compartments
ANG,Compartments
ANGPT1,Compartments
ANGPT2,Compartments
ANGPT4,Compartments
ANGPTL1,Compartments
ANGPTL2,Compartments
ANGPTL4,Compartments
ANKFY1,Compartments
ANO1,Compartments
ANO6,Compartments
ANP32B,Compartments
ANPEP,Compartments
ANTXR1,Compartments
ANTXR2,Compartments
ANXA2,Compartments
ANXA4,Compartments
ANXA5,Compartments
ANXA6,Compartments
ANXA7,Compartments
ANXA8L1,Compartments
ANXA8L2,Compartments
ANXA9,Compartments
AOX1,Compartments
AP1M1,Compartments
AP1S1,Compartments
AP2M1,Compartments
AP4M1,Compartments
APAF1,Compartments
APEH,Compartments
APLN,Compartments
APMAP,Compartments
APOA1,Compartments
APOA1BP,Compartments
APOA2,Compartments
APOA4,Compartments
APOA5,Compartments
APOB,Compartments
APOC2,Compartments
APOC3,Compartments
APOC4,Compartments
APOD,Compartments
APOF,Compartments
APOH,Compartments
APOL1,Compartments
APOM,Compartments
APOO,Compartments
APPL1,Compartments
APRT,Compartments
AQP1,Compartments
AQP2,Compartments
AQP5,Compartments
AREGB,Compartments
ARF4,Compartments
ARF5,Compartments
ARF6,Compartments
ARG1,Compartments
ARHGAP1,Compartments
ARHGAP23,Compartments
ARHGDIB,Compartments
ARHGEF12,Compartments
ARHGEF18,Compartments
ARL15,Compartments
ARL2,Compartments
ARL6,Compartments
ARMC3,Compartments
ARPC2,Compartments
ARPC3,Compartments
ARPC4,Compartments
ARPC5,Compartments
ARSA,Compartments
ARSD,Compartments
ARSE,Compartments
ARSF,Compartments
ARSG,Compartments
ART3,Compartments
ASAH1,Compartments
ASH1L,Compartments
ASIP,Compartments
ASL,Compartments
ASNA1,Compartments
ASPN,Compartments
ASXL1,Compartments
ATAD2,Compartments
ATG4C,Compartments
ATIC,Compartments
ATP1A1,Compartments
ATP1A2,Compartments
ATP1A3,Compartments
ATP1B1,Compartments
ATP1B3,Compartments
ATP2B2,Compartments
ATP5C1,Compartments
ATP5H,Compartments
ATP5J2,Compartments
ATP5L,Compartments
ATP5O,Compartments
ATP6AP2,Compartments
ATP6V0C,Compartments
ATP6V0D1,Compartments
ATP6V1B1,Compartments
ATP6V1C1,Compartments
ATP6V1D,Compartments
ATP6V1G1,Compartments
ATP6V1H,Compartments
ATP8A1,Compartments
AUP1,Compartments
AVP,Compartments
AXL,Compartments
AZGP1,Compartments
AZU1,Compartments
B2M,Compartments
B3GNT1,Compartments
B3GNT2,Compartments
B3GNT8,Compartments
B4GALT1,Compartments
B4GALT3,Compartments
BAG6,Compartments
BAI1,Compartments
BAIAP2,Compartments
BAIAP2L1,Compartments
BANF1,Compartments
BASP1,Compartments
BAX,Compartments
BCAN,Compartments
BCAS1,Compartments
BCR,Compartments
BDH2,Compartments
BEND7,Compartments
BEX5,Compartments
BGLAP,Compartments
BGN,Compartments
BHLHB9,Compartments
BID,Compartments
BLOC1S1,Compartments
BMP2,Compartments
BMP4,Compartments
BMP7,Compartments
BMPR2,Compartments
BOLA2,Compartments
BOLA2B,Compartments
BPGM,Compartments
BPHL,Compartments
BPIFA1,Compartments
BPIFB2,Compartments
BPNT1,Compartments
BPTF,Compartments
BRK1,Compartments
BROX,Compartments
BSG,Compartments
BTC,Compartments
BTD,Compartments
BTG2,Compartments
BTN1A1,Compartments
BTN2A1,Compartments
BTN2A2,Compartments
C11orf54,Compartments
C16orf89,Compartments
C17orf61,Compartments
C17orf80,Compartments
C19orf18,Compartments
C19orf77,Compartments
C1GALT1C1,Compartments
C1orf116,Compartments
C1orf123,Compartments
C1orf68,Compartments
C1QA,Compartments
C1QB,Compartments
C1QBP,Compartments
C1QC,Compartments
C1QTNF1,Compartments
C1QTNF3,Compartments
C1QTNF5,Compartments
C1QTNF9B,Compartments
C1R,Compartments
C1S,Compartments
C2,Compartments
C2orf16,Compartments
C2orf18,Compartments
C2orf40,Compartments
C3,Compartments
C3orf33,Compartments
C3orf58,Compartments
C4A,Compartments
C4BPA,Compartments
C4BPB,Compartments
C4orf40,Compartments
C5,Compartments
C5orf46,Compartments
C6orf108,Compartments
C6orf120,Compartments
C6orf58,Compartments
C7,Compartments
C8A,Compartments
C8G,Compartments
C9orf169,Compartments
C9orf174,Compartments
C9orf72,Compartments
CA4,Compartments
CA6,Compartments
CABP1,Compartments
CABP4,Compartments
CACNA2D1,Compartments
CACTIN,Compartments
CACYBP,Compartments
CADM1,Compartments
CADM4,Compartments
CALCA,Compartments
CALCB,Compartments
CALML3,Compartments
CALML5,Compartments
CALR,Compartments
CAMP,Compartments
CAND1,Compartments
CANT1,Compartments
CANX,Compartments
CAP1,Compartments
CAPN2,Compartments
CAPNS1,Compartments
CAPS,Compartments
CAPZA2,Compartments
CARD11,Compartments
CARHSP1,Compartments
CASC5,Compartments
CASP14,Compartments
CAT,Compartments
CBR1,Compartments
CBR3,Compartments
CC2D1A,Compartments
CCBE1,Compartments
CCDC105,Compartments
CCDC132,Compartments
CCDC25,Compartments
CCDC30,Compartments
CCK,Compartments
CCL1,Compartments
CCL11,Compartments
CCL13,Compartments
CCL14,Compartments
CCL15,Compartments
CCL16,Compartments
CCL17,Compartments
CCL18,Compartments
CCL19,Compartments
CCL22,Compartments
CCL23,Compartments
CCL24,Compartments
CCL25,Compartments
CCL28,Compartments
CCL3,Compartments
CCL3L1,Compartments
CCL3L3,Compartments
CCL4,Compartments
CCL5,Compartments
CCL7,Compartments
CCL8,Compartments
CCNY,Compartments
CCT2,Compartments
CCT3,Compartments
CCT4,Compartments
CCT8,Compartments
CD14,Compartments
CD177,Compartments
CD19,Compartments
CD200R1,Compartments
CD209,Compartments
CD22,Compartments
CD248,Compartments
CD274,Compartments
CD276,Compartments
CD2AP,Compartments
CD300A,Compartments
CD300E,Compartments
CD300LG,Compartments
CD320,Compartments
CD34,Compartments
CD36,Compartments
CD37,Compartments
CD38,Compartments
CD44,Compartments
CD46,Compartments
CD47,Compartments
CD48,Compartments
CD55,Compartments
CD58,Compartments
CD59,Compartments
CD5L,Compartments
CD7,Compartments
CD70,Compartments
CD74,Compartments
CD79B,Compartments
CD82,Compartments
CD84,Compartments
CD86,Compartments
CD9,Compartments
CD97,Compartments
CDA,Compartments
CDC37,Compartments
CDC42,Compartments
CDC42BPA,Compartments
CDC42BPB,Compartments
CDC42SE2,Compartments
CDCP1,Compartments
CDH13,Compartments
CDH15,Compartments
CDH16,Compartments
CDHR5,Compartments
CDK1,Compartments
CDK13,Compartments
CDK5RAP2,Compartments
CDKL1,Compartments
CDSN,Compartments
CEACAM1,Compartments
CEACAM16,Compartments
CEACAM5,Compartments
CEACAM6,Compartments
CEACAM8,Compartments
CELA1,Compartments
CELA2A,Compartments
CELA2B,Compartments
CEP250,Compartments
CES3,Compartments
CETP,Compartments
CFD,Compartments
CFH,Compartments
CFHR1,Compartments
CFHR2,Compartments
CFHR3,Compartments
CFHR4,Compartments
CFI,Compartments
CFL1,Compartments
CFL2,Compartments
CFP,Compartments
CFTR,Compartments
CGA,Compartments
CGB1,Compartments
CGB2,Compartments
CGB8,Compartments
CHADL,Compartments
CHD2,Compartments
CHEK1,Compartments
CHGA,Compartments
CHGB,Compartments
CHIA,Compartments
CHID1,Compartments
CHIT1,Compartments
CHMP1A,Compartments
CHMP1B,Compartments
CHMP2A,Compartments
CHMP3,Compartments
CHMP4A,Compartments
CHMP4B,Compartments
CHMP4C,Compartments
CHMP5,Compartments
CHMP6,Compartments
CHP1,Compartments
CHST14,Compartments
CHTF8,Compartments
CIB1,Compartments
CILP2,Compartments
CISD1,Compartments
CKAP4,Compartments
CKB,Compartments
CKMT1A,Compartments
CKMT1B,Compartments
CLCF1,Compartments
CLDN11,Compartments
CLDN2,Compartments
CLDN3,Compartments
CLDN5,Compartments
CLEC14A,Compartments
CLEC18A,Compartments
CLEC3B,Compartments
CLIC1,Compartments
CLIC3,Compartments
CLIC4,Compartments
CLIC5,Compartments
CLIC6,Compartments
CLMP,Compartments
CLN5,Compartments
CLRN3,Compartments
CLSTN1,Compartments
CLTCL1,Compartments
CLU,Compartments
CMBL,Compartments
CMTM6,Compartments
CNDP1,Compartments
CNDP2,Compartments
CNFN,Compartments
CNKSR2,Compartments
CNOT1,Compartments
CNP,Compartments
CNTLN,Compartments
CNTN1,Compartments
COASY,Compartments
COBLL1,Compartments
COCH,Compartments
COL12A1,Compartments
COL14A1,Compartments
COL15A1,Compartments
COL17A1,Compartments
COL18A1,Compartments
COL19A1,Compartments
COL1A1,Compartments
COL1A2,Compartments
COL25A1,Compartments
COL27A1,Compartments
COL2A1,Compartments
COL3A1,Compartments
COL4A1,Compartments
COL4A2,Compartments
COL4A3,Compartments
COL4A4,Compartments
COL4A5,Compartments
COL6A1,Compartments
COL6A2,Compartments
COL6A3,Compartments
COL6A6,Compartments
COL7A1,Compartments
COL8A2,Compartments
COLEC10,Compartments
COLEC12,Compartments
COMMD1,Compartments
COMP,Compartments
COMT,Compartments
COPA,Compartments
COPS6,Compartments
COPS8,Compartments
CORO1A,Compartments
CORO1B,Compartments
CORT,Compartments
COX5A,Compartments
CPA1,Compartments
CPA2,Compartments
CPB2,Compartments
CPD,Compartments
CPE,Compartments
CPM,Compartments
CPN2,Compartments
CPNE1,Compartments
CPNE2,Compartments
CPNE3,Compartments
CPNE4,Compartments
CPNE5,Compartments
CPNE6,Compartments
CPNE8,Compartments
CPNE9,Compartments
CPPED1,Compartments
CPQ,Compartments
CPZ,Compartments
CR1,Compartments
CR2,Compartments
CRABP2,Compartments
CRB1,Compartments
CRB2,Compartments
CRB3,Compartments
CREB5,Compartments
CRISP3,Compartments
CRK,Compartments
CRKL,Compartments
CROCC,Compartments
CRTAP,Compartments
CRTC2,Compartments
CRY2,Compartments
CRYAA,Compartments
CRYAB,Compartments
CRYL1,Compartments
CRYM,Compartments
CRYZ,Compartments
CS,Compartments
CSF1,Compartments
CSF2,Compartments
CSF3,Compartments
CSH1,Compartments
CSH2,Compartments
CSK,Compartments
CSN1S1,Compartments
CSN2,Compartments
CSN3,Compartments
CSNK2B,Compartments
CSPG4,Compartments
CSRP1,Compartments
CST1,Compartments
CST2,Compartments
CST3,Compartments
CST4,Compartments
CST5,Compartments
CST6,Compartments
CST8,Compartments
CSTB,Compartments
CTHRC1,Compartments
CTNNB1,Compartments
CTNND1,Compartments
CTNS,Compartments
CTRB1,Compartments
CTRB2,Compartments
CTSB,Compartments
CTSC,Compartments
CTSD,Compartments
CTSE,Compartments
CTSF,Compartments
CTSG,Compartments
CTSH,Compartments
CTSL1,Compartments
CTSS,Compartments
CTSZ,Compartments
CTTN,Compartments
CUBN,Compartments
CUL4B,Compartments
CUTA,Compartments
CX3CL1,Compartments
CXCL1,Compartments
CXCL10,Compartments
CXCL11,Compartments
CXCL12,Compartments
CXCL13,Compartments
CXCL14,Compartments
CXCL16,Compartments
CXCL2,Compartments
CXCL3,Compartments
CXCL5,Compartments
CXCL6,Compartments
CXCL9,Compartments
CXCR4,Compartments
CYB5A,Compartments
CYB5R1,Compartments
CYB5R3,Compartments
CYBRD1,Compartments
CYFIP1,Compartments
CYFIP2,Compartments
CYP4A11,Compartments
CYR61,Compartments
CYS1,Compartments
DAB2,Compartments
DAG1,Compartments
DAK,Compartments
DBH,Compartments
DBI,Compartments
DCD,Compartments
DCN,Compartments
DCTD,Compartments
DCTN2,Compartments
DCXR,Compartments
DDAH2,Compartments
DDB1,Compartments
DDC,Compartments
DDR1,Compartments
DDR2,Compartments
DDT,Compartments
DDTL,Compartments
DDX11,Compartments
DDX19B,Compartments
DDX23,Compartments
DDX3X,Compartments
DDX5,Compartments
DEAF1,Compartments
DECR1,Compartments
DEFA1,Compartments
DEFA1B,Compartments
DEFA3,Compartments
DEFA4,Compartments
DEFA6,Compartments
DEFB1,Compartments
DEFB103A,Compartments
DEFB103B,Compartments
DEFB104A,Compartments
DEFB104B,Compartments
DEFB105A,Compartments
DEFB105B,Compartments
DEFB106A,Compartments
DEFB106B,Compartments
DEFB107A,Compartments
DEFB107B,Compartments
DEFB108B,Compartments
DEFB131,Compartments
DEFB132,Compartments
DEFB4A,Compartments
DEFB4B,Compartments
DES,Compartments
DHRS2,Compartments
DHRS4,Compartments
DHRSX,Compartments
DIP2B,Compartments
DKK1,Compartments
DKK3,Compartments
DKK4,Compartments
DLG1,Compartments
DLG3,Compartments
DLK2,Compartments
DLL1,Compartments
DLST,Compartments
DMBT1,Compartments
DMKN,Compartments
DMXL2,Compartments
DNAJA1,Compartments
DNAJA2,Compartments
DNAJB9,Compartments
DNAJC11,Compartments
DNAJC14,Compartments
DNAJC3,Compartments
DNAJC5,Compartments
DNAJC7,Compartments
DNAJC9,Compartments
DNASE1,Compartments
DNASE1L1,Compartments
DNASE2,Compartments
DNM1,Compartments
DNM2,Compartments
DNM3,Compartments
DOPEY2,Compartments
DPP3,Compartments
DPP4,Compartments
DPP6,Compartments
DPT,Compartments
DPYSL2,Compartments
DSCAML1,Compartments
DSP,Compartments
DST,Compartments
DSTN,Compartments
DUOX2,Compartments
DUSP23,Compartments
DUSP3,Compartments
DUT,Compartments
DYNC1H1,Compartments
DYNC2H1,Compartments
DYNLL1,Compartments
DYNLRB2,Compartments
DYSF,Compartments
EBI3,Compartments
ECE1,Compartments
ECH1,Compartments
ECHDC1,Compartments
ECHS1,Compartments
ECI1,Compartments
ECM1,Compartments
ECM2,Compartments
EDF1,Compartments
EDIL3,Compartments
EDN1,Compartments
EDN2,Compartments
EDN3,Compartments
EEA1,Compartments
EEF1A1,Compartments
EEF1E1,Compartments
EEF1G,Compartments
EEF2,Compartments
EFEMP1,Compartments
EFEMP2,Compartments
EFNA1,Compartments
EFNB1,Compartments
EGFL7,Compartments
EHD1,Compartments
EHD4,Compartments
EIF3B,Compartments
EIF3E,Compartments
EIF3H,Compartments
EIF3I,Compartments
EIF3K,Compartments
EIF4A1,Compartments
EIF4E,Compartments
EIF5A,Compartments
EIF6,Compartments
ELFN1,Compartments
ELFN2,Compartments
EMID1,Compartments
EMILIN1,Compartments
EML5,Compartments
ENDOU,Compartments
ENO1,Compartments
ENO2,Compartments
ENO3,Compartments
ENOX2,Compartments
ENPP3,Compartments
ENPP4,Compartments
ENPP6,Compartments
ENSG00000174093,Compartments
ENSG00000212857,Compartments
ENSG00000224916,Compartments
ENSG00000249139,Compartments
ENSG00000258643,Compartments
ENSG00000258818,Compartments
ENSG00000258947,Compartments
ENSG00000259131,Compartments
ENSG00000263203,Compartments
ENSG00000267179,Compartments
ENTPD2,Compartments
ENTPD5,Compartments
ENTPD6,Compartments
EPB41L2,Compartments
EPDR1,Compartments
EPHA10,Compartments
EPHB1,Compartments
EPHB4,Compartments
