hgnc_symbol	Compartments.Score	LOCATE_score	GO.score	Uniprot.Score	Goldstd.Score	Goldstd_result	NEG.control
1	ESRRA	1	0	1	0	0	no	1
2	FUCA2	1	1	1	1	0	no	0
3	SEMA3F	1	0	1	1	0	no	0
4	HSPB6	1	0	1	1	0	no	0
5	CCL26	1	0	1	1	0	no	0
6	PRSS21	1	1	1	0	0	no	1
7	CX3CL1	1	0	1	1	0	no	1
8	SPATA20	1	1	1	1	0	no	1
9	CEACAM7	1	0	1	0	0	no	0
10	PGLYRP1	1	0	1	1	0	no	0
11	CD9	1	0	1	0	0	no	1
12	CPA1	1	1	1	1	0	no	0
13	HEBP1	1	0	1	0	1	YES	0
14	DNASE1L1	1	1	1	0	0	no	0
15	LRRC7	1	0	1	0	0	no	0
16	MYOC	1	0	1	1	0	no	0
17	ZPBP	1	0	1	1	0	no	0
18	DCN	1	1	1	1	0	no	0
19	GRN	1	1	1	1	0	no	1
20	UTS2	1	1	1	1	0	no	0
21	TLL1	1	0	1	1	1	YES	0
22	CBLN4	1	0	1	1	0	no	1
23	CA11	1	0	1	1	1	YES	0
24	KLK14	1	1	1	1	0	no	0
25	LMCD1	1	0	0	0	1	YES	0
26	PRSS22	1	0	1	1	0	no	1
27	TNFRSF1A	1	0	1	1	0	no	0
28	PRLH	1	0	1	1	0	no	0
29	FSTL3	1	0	1	1	0	no	1
30	VASH1	1	0	1	1	0	no	0
31	SPP2	1	0	1	1	0	no	0
32	FGF4	1	1	1	1	0	no	0
33	ST6GAL1	1	0	1	1	0	no	0
34	BPIFB2	1	0	1	1	1	YES	0
35	IL4R	1	0	1	1	0	no	0
36	NGFR	1	0	1	0	0	no	1
37	NTN1	1	1	1	1	0	no	0
38	SCT	1	1	1	1	0	no	0
39	FGF20	1	0	1	1	0	no	0
40	CPB2	1	0	1	1	0	no	0
41	CDK13	1	0	1	0	0	no	1
42	FAP	1	0	1	1	0	no	0
43	WISP2	1	1	1	1	0	no	0
44	IMPG2	1	0	1	0	0	no	0
45	AQP2	1	0	1	0	0	no	0
46	CEACAM6	1	0	1	0	0	no	0
47	CETP	1	1	1	1	0	no	0
48	MT3	1	0	1	0	0	no	0
49	CHRD	1	1	1	1	0	no	0
50	THPO	1	1	1	1	0	no	0
51	GLG1	1	0	1	0	0	no	1
52	LAMB4	1	1	1	1	0	no	1
53	APOH	1	0	1	1	0	no	1
54	CCDC80	1	1	1	1	0	no	0
55	UNC13D	1	0	1	0	1	YES	0
56	SEMA4G	1	0	1	0	1	YES	0
57	TPSD1	1	1	1	1	0	no	1
58	VCL	1	0	1	0	0	no	1
59	TGFBR3	1	0	1	1	0	no	1
60	AMELY	1	1	1	1	0	no	0
61	FGF22	1	0	1	1	0	no	0
62	SERPIND1	1	1	1	0	1	YES	0
63	MMP11	1	1	1	1	0	no	0
