HGNC Symbol	Number of Databases Confirmed
1	FUCA2	4
2	SEMA3F	3
3	HSPB6	3
4	CCL26	3
5	PRSS21	3
6	CX3CL1	3
7	SPATA20	4
8	PGLYRP1	3
9	CPA1	4
10	HEBP1	3
11	DNASE1L1	3
12	MYOC	3
13	ZPBP	3
14	DCN	4
15	GRN	4
16	UTS2	4
17	TLL1	4
18	CBLN4	3
19	CA11	4
20	KLK14	4
21	PRSS22	3
22	TNFRSF1A	3
23	PRLH	3
24	FSTL3	3
25	VASH1	3
26	SPP2	3
27	FGF4	4
28	ST6GAL1	3
29	BPIFB2	4
30	IL4R	3
31	NTN1	4
32	SCT	4
33	FGF20	3
34	CPB2	3
35	FAP	3
36	WISP2	4
37	CETP	4
38	CHRD	4
39	THPO	4
40	LAMB4	4
41	APOH	3
42	CCDC80	4
43	UNC13D	3
44	SEMA4G	3
45	TPSD1	4
46	TGFBR3	3
47	AMELY	4
48	FGF22	3
49	SERPIND1	4
50	MMP11	4
51	MIF	3
52	OSM	4
53	TCN2	4
54	PLA2G3	3
55	LGALS1	3
56	ARSA	3
57	CHADL	4
58	NID2	4
59	CTSG	3
60	COCH	4
61	CHGA	4
62	R3HDML	4
63	CTSZ	3
64	RSPO4	3
65	PDYN	3
66	OXT	4
67	LBP	4
68	CST4	3
69	SPINT3	3
70	F9	3
71	PCSK1N	4
72	TIMP1	4
73	ITIH6	4
74	GLA	3
75	OLFM4	3
76	MMP2	5
77	CBLN1	3
78	CCL22	3
79	CCL17	3
80	PRSS54	4
81	PLA2G15	4
82	WFDC1	4
83	CTSH	4
84	CEMIP	4
85	SCG3	4
86	AGO2	3
87	TG	4
88	CPQ	4
89	SFRP1	3
90	PLAT	3
91	DKK4	3
92	TULP2	3
93	LHB	4
94	AMH	5
95	DKKL1	4
96	RETN	4
97	EBI3	3
98	TGFB1	4
99	EPOR	4
100	FGF21	3
101	COMP	4
102	HAMP	3
103	PON1	3
104	HGF	3
105	LAMB1	4
106	WNT16	3
107	CPA2	3
108	CPA4	4
109	TFPI2	4
110	PON2	3
111	NPVF	3
112	LFNG	3
113	STX1A	3
114	CCL24	3
115	PCOLCE	4
116	SERPINE1	3
117	PLOD3	3
118	RARRES2	3
119	AEBP1	4
120	C5	4
121	RLN1	3
122	C8G	4
123	MPO	3
124	EPX	3
125	CSF3	4
126	WNT3	3
127	C1QBP	3
128	CCL2	5
129	CCL1	4
130	CCL13	4
131	NAGLU	3
132	COL1A1	4
133	PPY	4
134	VTN	5
135	ALDOC	3
136	IBSP	4
137	CXCL6	3
138	AFM	3
139	SMR3A	4
140	PF4V1	4
141	IL2	4
142	CTSC	4
143	HSPA8	3
144	ST3GAL4	4
145	APOA5	3
146	APOC3	5
147	KITLG	4
148	IL23A	3
149	PRR4	4
150	FGF6	3
151	MGP	4
152	IL26	3
153	IFNG	3
154	ACRBP	4
155	TULP1	3
156	GPLD1	3
157	LAMA4	4
158	ENPP5	3
159	LY86	4
160	GHR	3
161	HBEGF	3
162	LOX	4
163	GZMK	3
164	SPARC	3
165	IL12B	4
166	LNPEP	3
167	IL4	4
168	IL5	3
169	SEMA3G	3
170	LTF	3
171	HRG	3
172	TFPI	3
173	APOB	4
174	REG1A	4
175	IGFBP2	3
176	IGFBP5	5
177	WNT6	3
178	IL1RL1	4
179	AZU1	3
180	PROC	3
181	PRTN3	4
182	CLCA1	4
183	ANGPTL1	4
184	CTSD	4
185	MMP8	3
186	APOA1	5
187	TTR	3
188	GHRH	4
189	SOGA1	3
190	FGF23	4
191	C2orf40	3
192	ADCK1	3
193	TGFB3	5
194	INSL4	4
195	IFNA7	3
196	TNN	4
197	PDZD11	3
198	TNFSF11	3
199	TEX14	3
200	PLBD1	3
201	IAPP	3
202	CAT	3
203	CPXM2	3
204	NPY	3
205	INHBA	4
206	CNTFR	3
207	SRGN	4
208	ADGRE5	3
209	CCDC70	3
210	COL10A1	4
211	TNFAIP6	3
212	PLA2G12A	3
213	C4BPB	3
214	INHA	4
215	PI3	4
216	WFDC3	4
217	IL9R	3
218	IL17C	3
219	PSG1	3
220	LYPD3	3
221	BTN1A1	3
222	TREM1	4
223	COL21A1	4
224	EREG	4
225	BMP4	4
226	PSPN	3
227	C3	4
228	GNRH2	4
229	CST8	3
230	CSTL1	3
231	OTOR	4
232	DEFB129	3
233	MMP24	3
234	SLURP1	4
235	FLRT1	3
236	CSN1S1	4
237	STATH	4
238	HTN1	3
239	DNASE1	5
240	GDF1	3
241	SDF2	4
242	CFP	4
243	PLA2G2C	3
