hgnc_symbol	OrganelleDB.Score	Compartments.Score	CSPA.Score	LOCATE_score	LocDB.Score	GO.Score	Uniprot.Score	Goldstd.Score	Goldstd_result	NEG.control
1	AAD14	1	0	0	0	0	0	0	0	no	0
2	ABCA3	1	1	0	0	0	0	0	0	no	1
3	ABCB11	1	1	0	1	0	1	0	1	YES	0
4	ABCB4	1	1	0	1	0	1	1	1	YES	0
5	ABCC1	1	1	1	1	0	1	0	1	YES	0
6	ABCC2	1	1	1	1	0	1	1	0	no	0
7	ABCC3	1	1	0	1	0	1	0	1	YES	0
8	ABCC6	1	1	0	0	0	0	1	1	YES	0
9	ABCD2	1	0	0	1	0	0	0	0	no	0
10	ACCN1	1	0	0	0	0	0	0	0	no	0
11	ACCN3	1	0	0	0	0	0	0	0	no	0
12	ACE	1	1	1	1	1	0	1	0	no	1
13	ACSL6	1	1	0	1	1	0	0	0	no	0
14	ACVR1	1	1	1	0	0	1	0	0	no	1
15	ACVR1B	1	1	0	1	0	1	0	0	no	1
16	ACVR2A	1	1	1	1	0	1	0	0	no	1
17	ACVR2B	1	1	1	0	0	1	0	0	no	1
18	ADAM10	1	1	1	1	0	0	1	1	YES	0
19	ADAM11	1	1	0	1	0	0	0	0	no	0
20	ADAM12	1	1	1	1	0	0	0	1	YES	0
21	ADAM17	1	1	1	0	0	1	0	0	no	1
22	ADAM2	1	1	0	1	0	1	0	0	no	0
23	ADAM29	1	1	0	1	0	1	0	0	no	0
24	ADAM8	1	1	1	1	1	1	0	0	no	0
25	ADAM9	1	1	1	1	1	1	0	0	no	1
26	ADCY3	1	1	1	0	1	1	0	0	no	0
27	ADCY7	1	1	1	1	1	0	0	0	no	1
28	ADCY8	1	1	0	1	0	0	0	0	no	0
29	ADCYAP1R1	1	1	0	1	0	1	0	0	no	1
30	ADORA1	1	1	1	1	0	1	0	1	YES	0
31	ADORA3	1	0	0	1	0	1	0	0	no	0
32	ADRA1A	1	1	0	0	0	1	0	0	no	0
33	ADRA1B	1	1	0	1	0	1	0	1	YES	0
34	ADRA1D	1	1	0	1	0	1	0	0	no	0
35	ADRA2A	1	1	1	0	0	1	0	0	no	0
36	ADRA2C	1	1	1	1	0	1	0	0	no	0
37	ADRB1	1	1	0	1	1	1	1	0	no	0
38	ADRB2	1	1	0	0	0	1	1	0	no	1
39	ADRB3	1	1	0	1	1	1	0	0	no	0
40	ADRM1	1	1	0	0	1	1	0	1	YES	0
41	AGER	1	1	0	1	0	1	0	1	YES	0
42	AGTR1	1	1	1	1	1	1	0	0	no	1
43	AGTR2	1	1	1	1	0	1	0	0	no	0
44	AGTRL1	1	0	0	0	0	0	0	0	no	0
45	AKAP5	1	1	0	0	1	0	0	0	no	1
46	AKAP7	1	1	0	0	0	0	1	0	no	0
47	ALCAM	1	1	1	1	0	1	0	0	no	0
48	ALOX12	1	1	0	0	0	0	0	0	no	1
49	ALOX15	1	1	0	0	0	1	1	0	no	0
50	AMBP	1	1	1	0	0	0	0	0	no	0
51	ANK1	1	1	0	0	1	0	1	0	no	0
52	ANPEP	1	1	1	0	0	0	0	1	YES	0
53	ANXA13	1	1	0	0	0	0	1	1	YES	0
54	ANXA2	1	1	0	0	0	1	1	0	no	0
55	ANXA9	1	1	0	0	0	0	0	0	no	1
56	AP2A1	1	1	0	0	0	0	0	0	no	1
57	AP2A2	1	1	0	0	0	0	0	0	no	1
58	AP2S1	1	1	0	0	1	0	0	0	no	0
59	APC	1	1	0	0	1	1	1	0	no	0
60	APC2	1	1	0	0	0	1	0	0	no	1
61	APOB48R	1	0	0	0	0	0	0	0	no	0
62	APOM	1	1	0	0	1	1	0	0	no	1
63	APP	1	1	0	1	0	1	1	0	no	1
64	APS	1	0	0	0	0	0	0	0	no	0
65	AQP1	1	1	1	0	1	1	0	1	YES	0
66	AQP2	1	1	0	0	0	1	1	0	no	0
67	AQP3	1	1	0	1	1	0	1	1	YES	0
68	AQP4	1	1	0	1	1	1	0	1	YES	0
69	AQP5	1	1	0	1	1	1	1	1	YES	0
70	AQP6	1	1	0	1	0	1	0	0	no	0
71	AQP7	1	1	0	1	1	1	0	0	no	0
72	AQP8	1	1	0	0	1	1	0	0	no	0
73	ARFIP2	1	1	0	0	0	0	0	0	no	1
74	ARHGEF1	1	1	0	0	0	0	0	1	YES	0
75	ARRB1	1	1	0	0	0	1	1	0	no	1
