HGNC Symbol	Number of Databases Confirmed
1	ABCB11	5
2	ABCB4	6
3	ABCC1	6
4	ABCC2	6
5	ABCC3	5
6	ABCC6	4
7	ACE	6
8	ACSL6	4
9	ACVR1	4
10	ACVR1B	4
11	ACVR2A	5
12	ACVR2B	4
13	ADAM10	6
14	ADAM12	5
15	ADAM17	4
16	ADAM2	4
17	ADAM29	4
18	ADAM8	6
19	ADAM9	6
20	ADCY3	5
21	ADCY7	5
22	ADCYAP1R1	4
23	ADORA1	6
24	ADRA1B	5
25	ADRA1D	4
26	ADRA2A	4
27	ADRA2C	5
28	ADRB1	6
29	ADRB2	4
30	ADRB3	5
31	ADRM1	5
32	AGER	5
33	AGTR1	6
34	AGTR2	5
35	ALCAM	5
36	ALOX15	4
37	ANK1	4
38	ANPEP	4
39	ANXA13	4
40	ANXA2	4
41	APC	5
42	APOM	4
43	APP	5
44	AQP1	6
45	AQP2	4
46	AQP3	6
47	AQP4	6
48	AQP5	7
49	AQP6	4
50	AQP7	5
51	AQP8	4
52	ARRB1	4
53	ASIC4	4
54	ATP12A	4
55	ATP1A1	5
56	ATP1A2	4
57	ATP1A3	5
58	ATP1A4	4
59	ATP1B1	5
60	ATP1B3	6
61	ATP2A2	4
62	ATP2B1	5
63	ATP2B2	4
64	ATP2B3	5
65	ATP2B4	5
66	ATP4A	5
67	ATP7A	4
68	ATP8B1	5
69	ATRN	6
70	AVPR1A	4
71	AVPR1B	4
72	AVPR2	4
73	AXL	5
74	B3GNT3	4
75	BACE1	8
76	BCAM	5
77	BDKRB1	4
78	BMPR1B	4
79	BPI	4
80	BRS3	4
81	BST2	6
82	BTK	5
83	BTN2A1	6
84	C1QBP	4
85	C9	5
86	CACNA1C	4
87	CACNA1E	4
88	CACNA1H	5
89	CACNA2D1	4
90	CACNG2	4
91	CACNG6	4
92	CACNG8	5
93	CALCR	4
94	CALCRL	5
95	CAV1	5
96	CAV3	5
97	CCKAR	4
98	CCR1	4
99	CCR10	4
100	CCR2	5
101	CCR3	4
102	CCR4	5
103	CCR5	5
104	CCR6	4
105	CCR7	5
106	CCR8	5
107	CCR9	4
108	CD14	5
109	CD151	6
110	CD160	4
111	CD163	6
112	CD164	4
113	CD180	5
114	CD19	4
115	CD1D	5
116	CD1E	5
117	CD2	5
118	CD200	5
119	CD22	5
120	CD226	4
121	CD28	5
122	CD33	6
123	CD36	6
124	CD37	6
125	CD3D	4
126	CD3E	5
127	CD3G	5
128	CD4	8
129	CD40	5
130	CD40LG	5
131	CD44	7
132	CD46	6
133	CD47	7
134	CD48	7
135	CD5	4
136	CD52	5
137	CD53	7
138	CD55	5
139	CD58	5
140	CD59	5
141	CD6	5
142	CD63	6
143	CD69	5
144	CD7	5
145	CD72	5
146	CD79B	7
147	CD80	4
148	CD82	6
149	CD83	6
150	CD84	5
151	CD86	4
152	CD8A	4
153	CD8B	7
154	CD9	5
155	CD96	5
156	CD99	4
157	CDH15	5
158	CDH17	4
159	CDH4	5
160	CDH5	5
161	CDSN	4
162	CEACAM1	6
163	CEACAM4	4
164	CEACAM6	5
165	CEACAM8	4
166	CELSR1	5
167	CFTR	6
168	CGN	4
169	CHRM1	4
170	CHRM2	5
171	CHRM3	5
172	CHRM4	5
173	CHRM5	4
174	CHRNA1	6
175	CHRNA2	5
176	CHRNA3	5
177	CHRNA4	5
178	CHRNA5	5
179	CHRNA6	4
180	CHRNA7	5
181	CHRNB1	4
182	CHRNB2	5
183	CHRNB3	5
184	CHRNB4	4
185	CHRND	5
