hgnc_symbol,Database
AAMP,Compartments
ABCA2,Compartments
ABCA3,Compartments
ABCB5,Compartments
ABCC11,Compartments
ABCC4,Compartments
ABCD4,Compartments
ABCG1,Compartments
ABP1,Compartments
ACPP,Compartments
ACSL6,Compartments
ACVR1C,Compartments
ACVRL1,Compartments
ADA,Compartments
ADAM12,Compartments
ADAM15,Compartments
ADAP2,Compartments
ADCY1,Compartments
ADCY2,Compartments
ADCY9,Compartments
ADCYAP1R1,Compartments
ADD3,Compartments
ADI1,Compartments
ADIPOR1,Compartments
ADIPOR2,Compartments
ADORA1,Compartments
ADORA2A,Compartments
ADORA2B,Compartments
ADRA1A,Compartments
ADRA1B,Compartments
ADRA1D,Compartments
ADRA2C,Compartments
ADRB1,Compartments
ADRB2,Compartments
ADRB3,Compartments
AGER,Compartments
AGPAT3,Compartments
AHNAK,Compartments
AHNAK2,Compartments
AJAP1,Compartments
AKAP7,Compartments
AKTIP,Compartments
ALCAM,Compartments
ALK,Compartments
ALOX15,Compartments
ALOX15B,Compartments
ALPI,Compartments
ALPP,Compartments
ALPPL2,Compartments
AMICA1,Compartments
AMN,Compartments
AMPH,Compartments
ANGPT1,Compartments
ANK2,Compartments
ANKRD27,Compartments
ANO1,Compartments
ANO10,Compartments
ANO4,Compartments
ANO5,Compartments
ANO6,Compartments
ANO8,Compartments
ANO9,Compartments
ANPEP,Compartments
ANTXR1,Compartments
ANTXR2,Compartments
ANXA2,Compartments
ANXA8,Compartments
ANXA8L1,Compartments
ANXA9,Compartments
AOC3,Compartments
AP2M1,Compartments
APBB1,Compartments
APC2,Compartments
APCDD1,Compartments
APH1A,Compartments
APLP1,Compartments
APMAP,Compartments
AQP1,Compartments
AQP11,Compartments
AQP2,Compartments
AQP3,Compartments
AQP4,Compartments
AQP5,Compartments
AQP7,Compartments
ARAP1,Compartments
ARC,Compartments
ARF4,Compartments
ARF6,Compartments
ARHGAP12,Compartments
ARHGAP25,Compartments
ARHGAP44,Compartments
ARHGEF2,Compartments
ARHGEF39,Compartments
ARL4A,Compartments
ARL4C,Compartments
ARL4D,Compartments
ARL6,Compartments
ARRDC2,Compartments
ART3,Compartments
ART4,Compartments
ASPH,Compartments
ATP11C,Compartments
ATP1A1,Compartments
ATP1A2,Compartments
ATP1A3,Compartments
ATP1A4,Compartments
ATP1B2,Compartments
ATP2B2,Compartments
ATP4B,Compartments
ATP5O,Compartments
ATP6V0A2,Compartments
ATP6V1B1,Compartments
ATP6V1G1,Compartments
ATP7A,Compartments
ATP7B,Compartments
ATP8A1,Compartments
ATP8A2,Compartments
ATP8B2,Compartments
ATPIF1,Compartments
AVPR1A,Compartments
AVPR1B,Compartments
AXL,Compartments
B4GALT1,Compartments
BACE1,Compartments
BACE2,Compartments
BAG4,Compartments
BAI1,Compartments
BAI2,Compartments
BASP1,Compartments
BBS1,Compartments
BBS2,Compartments
BBS9,Compartments
